INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
131,10002718,LOND,Goldsmiths College,22,Social Work and Social Policy,Z,7
131,10002718,LOND,Goldsmiths College,23,Sociology,Z,35
131,10002718,LOND,Goldsmiths College,24,Anthropology and Development Studies,Z,13
131,10002718,LOND,Goldsmiths College,25,Education,Z,10
131,10002718,LOND,Goldsmiths College,29,English Language and Literature,Z,22
131,10002718,LOND,Goldsmiths College,30,History,Z,10
131,10002718,LOND,Goldsmiths College,34,"Art and Design: History, Practice and Theory",Z,34
131,10002718,LOND,Goldsmiths College,35,"Music, Drama, Dance and Performing Arts",A,14
131,10002718,LOND,Goldsmiths College,35,"Music, Drama, Dance and Performing Arts",B,10
131,10002718,LOND,Goldsmiths College,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,20
131,10002718,LOND,Goldsmiths College,N/A,UoA not recorded,Not recorded,42
59,10007146,LOND,The University of Greenwich,2,"Public Health, Health Services and Primary Care",Z,1
59,10007146,LOND,The University of Greenwich,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,2
59,10007146,LOND,The University of Greenwich,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,12
59,10007146,LOND,The University of Greenwich,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,116
59,10007146,LOND,The University of Greenwich,4,"Psychology, Psychiatry and Neuroscience",Z,27
59,10007146,LOND,The University of Greenwich,5,Biological Sciences,Z,11
59,10007146,LOND,The University of Greenwich,6,"Agriculture, Veterinary and Food Science",Z,39
59,10007146,LOND,The University of Greenwich,7,Earth Systems and Environmental Sciences,Z,1
59,10007146,LOND,The University of Greenwich,8,Chemistry,Z,35
59,10007146,LOND,The University of Greenwich,9,Physics,Z,1
59,10007146,LOND,The University of Greenwich,10,Mathematical Sciences,Z,17
59,10007146,LOND,The University of Greenwich,11,Computer Science and Informatics,Z,37
59,10007146,LOND,The University of Greenwich,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,11
59,10007146,LOND,The University of Greenwich,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,32
59,10007146,LOND,The University of Greenwich,15,General Engineering,Z,41
59,10007146,LOND,The University of Greenwich,16,"Architecture, Built Environment and Planning",Z,41
59,10007146,LOND,The University of Greenwich,17,"Geography, Environmental Studies and Archaeology",Z,10
59,10007146,LOND,The University of Greenwich,18,Economics and Econometrics,Z,2
59,10007146,LOND,The University of Greenwich,19,Business and Management Studies,Z,155
59,10007146,LOND,The University of Greenwich,20,Law,Z,27
59,10007146,LOND,The University of Greenwich,21,Politics and International Studies,Z,2
59,10007146,LOND,The University of Greenwich,23,Sociology,Z,5
59,10007146,LOND,The University of Greenwich,24,Anthropology and Development Studies,Z,20
59,10007146,LOND,The University of Greenwich,25,Education,Z,80
59,10007146,LOND,The University of Greenwich,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,9
59,10007146,LOND,The University of Greenwich,27,Area Studies,Z,2
59,10007146,LOND,The University of Greenwich,28,Modern Languages and Linguistics,Z,5
59,10007146,LOND,The University of Greenwich,29,English Language and Literature,Z,12
59,10007146,LOND,The University of Greenwich,30,History,Z,12
59,10007146,LOND,The University of Greenwich,32,Philosophy,Z,2
59,10007146,LOND,The University of Greenwich,34,"Art and Design: History, Practice and Theory",Z,25
59,10007146,LOND,The University of Greenwich,35,"Music, Drama, Dance and Performing Arts",Z,2
59,10007146,LOND,The University of Greenwich,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,17
208,10007825,LOND,Guildhall School of Music and Drama,35,"Music, Drama, Dance and Performing Arts",Z,39
208,10007825,LOND,Guildhall School of Music and Drama,N/A,UoA not recorded,Not recorded,0
18,10040812,WMID,Harper Adams University,6,"Agriculture, Veterinary and Food Science",Z,75
60,10007147,EAST,University of Hertfordshire,1,Clinical Medicine,Z,7
60,10007147,EAST,University of Hertfordshire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,52
60,10007147,EAST,University of Hertfordshire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,152
60,10007147,EAST,University of Hertfordshire,4,"Psychology, Psychiatry and Neuroscience",Z,44
60,10007147,EAST,University of Hertfordshire,5,Biological Sciences,Z,27
60,10007147,EAST,University of Hertfordshire,6,"Agriculture, Veterinary and Food Science",Z,17
60,10007147,EAST,University of Hertfordshire,7,Earth Systems and Environmental Sciences,Z,3
60,10007147,EAST,University of Hertfordshire,8,Chemistry,Z,8
60,10007147,EAST,University of Hertfordshire,9,Physics,Z,43
60,10007147,EAST,University of Hertfordshire,10,Mathematical Sciences,Z,8
60,10007147,EAST,University of Hertfordshire,11,Computer Science and Informatics,Z,73
60,10007147,EAST,University of Hertfordshire,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,35
60,10007147,EAST,University of Hertfordshire,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,15
60,10007147,EAST,University of Hertfordshire,15,General Engineering,Z,17
60,10007147,EAST,University of Hertfordshire,16,"Architecture, Built Environment and Planning",Z,2
60,10007147,EAST,University of Hertfordshire,17,"Geography, Environmental Studies and Archaeology",Z,5
60,10007147,EAST,University of Hertfordshire,19,Business and Management Studies,Z,156
60,10007147,EAST,University of Hertfordshire,20,Law,Z,35
60,10007147,EAST,University of Hertfordshire,22,Social Work and Social Policy,Z,10
60,10007147,EAST,University of Hertfordshire,25,Education,Z,46
60,10007147,EAST,University of Hertfordshire,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,16
60,10007147,EAST,University of Hertfordshire,28,Modern Languages and Linguistics,Z,6
60,10007147,EAST,University of Hertfordshire,29,English Language and Literature,Z,25
60,10007147,EAST,University of Hertfordshire,30,History,Z,15
60,10007147,EAST,University of Hertfordshire,32,Philosophy,Z,10
60,10007147,EAST,University of Hertfordshire,34,"Art and Design: History, Practice and Theory",Z,43
60,10007147,EAST,University of Hertfordshire,35,"Music, Drama, Dance and Performing Arts",Z,11
60,10007147,EAST,University of Hertfordshire,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,25
205,10007765,LOND,Heythrop College,33,Theology and Religious Studies,Z,40
61,10007148,YORH,The University of Huddersfield,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,24
61,10007148,YORH,The University of Huddersfield,5,Biological Sciences,Z,26
61,10007148,YORH,The University of Huddersfield,8,Chemistry,Z,31
61,10007148,YORH,The University of Huddersfield,9,Physics,Z,14
61,10007148,YORH,The University of Huddersfield,11,Computer Science and Informatics,Z,37
61,10007148,YORH,The University of Huddersfield,15,General Engineering,Z,67
61,10007148,YORH,The University of Huddersfield,19,Business and Management Studies,Z,108
61,10007148,YORH,The University of Huddersfield,20,Law,Z,25
61,10007148,YORH,The University of Huddersfield,22,Social Work and Social Policy,Z,167
61,10007148,YORH,The University of Huddersfield,25,Education,Z,53
61,10007148,YORH,The University of Huddersfield,29,English Language and Literature,Z,21
61,10007148,YORH,The University of Huddersfield,30,History,Z,19
61,10007148,YORH,The University of Huddersfield,34,"Art and Design: History, Practice and Theory",Z,81
61,10007148,YORH,The University of Huddersfield,35,"Music, Drama, Dance and Performing Arts",Z,36
61,10007148,YORH,The University of Huddersfield,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,17
120,10007149,YORH,The University of Hull,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,102
120,10007149,YORH,The University of Hull,4,"Psychology, Psychiatry and Neuroscience",Z,26
120,10007149,YORH,The University of Hull,8,Chemistry,Z,34
120,10007149,YORH,The University of Hull,11,Computer Science and Informatics,Z,22
120,10007149,YORH,The University of Hull,15,General Engineering,Z,28
120,10007149,YORH,The University of Hull,17,"Geography, Environmental Studies and Archaeology",Z,45
120,10007149,YORH,The University of Hull,19,Business and Management Studies,Z,96
120,10007149,YORH,The University of Hull,20,Law,Z,25
120,10007149,YORH,The University of Hull,21,Politics and International Studies,Z,22
120,10007149,YORH,The University of Hull,22,Social Work and Social Policy,Z,44
120,10007149,YORH,The University of Hull,25,Education,Z,50
120,10007149,YORH,The University of Hull,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,16
120,10007149,YORH,The University of Hull,29,English Language and Literature,Z,44
120,10007149,YORH,The University of Hull,30,History,Z,34
120,10007149,YORH,The University of Hull,32,Philosophy,Z,8
120,10007149,YORH,The University of Hull,35,"Music, Drama, Dance and Performing Arts",Z,41
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",1,Clinical Medicine,Z,382
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",2,"Public Health, Health Services and Primary Care",Z,57
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",4,"Psychology, Psychiatry and Neuroscience",Z,53
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",5,Biological Sciences,Z,104
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",8,Chemistry,Z,55
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",9,Physics,Z,128
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",10,Mathematical Sciences,Z,99
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",11,Computer Science and Informatics,Z,53
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,175
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,44
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,37
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",14,Civil and Construction engineering,Z,58
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",15,General Engineering,Z,34
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",17,"Geography, Environmental Studies and Archaeology",Z,17
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",18,Economics and Econometrics,Z,2
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",19,Business and Management Studies,Z,62
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",25,Education,Z,4
132,10003270,LOND,"Imperial College of Science, Technology and Medicine",36,"Communication, Cultural and Media Studies, Library and Information Management",Z,4
133,10007766,LOND,Institute of Education† ,25,Education,Z,311
121,10007767,WMID,The University of Keele,1,Clinical Medicine,Z,17
121,10007767,WMID,The University of Keele,2,"Public Health, Health Services and Primary Care",Z,10
121,10007767,WMID,The University of Keele,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,122
121,10007767,WMID,The University of Keele,4,"Psychology, Psychiatry and Neuroscience",Z,18
121,10007767,WMID,The University of Keele,5,Biological Sciences,Z,16
121,10007767,WMID,The University of Keele,7,Earth Systems and Environmental Sciences,Z,17
121,10007767,WMID,The University of Keele,9,Physics,Z,11
121,10007767,WMID,The University of Keele,10,Mathematical Sciences,Z,13
121,10007767,WMID,The University of Keele,11,Computer Science and Informatics,Z,8
121,10007767,WMID,The University of Keele,15,General Engineering,Z,36
121,10007767,WMID,The University of Keele,18,Economics and Econometrics,Z,9
121,10007767,WMID,The University of Keele,19,Business and Management Studies,Z,34
121,10007767,WMID,The University of Keele,20,Law,Z,23
121,10007767,WMID,The University of Keele,21,Politics and International Studies,Z,20
121,10007767,WMID,The University of Keele,22,Social Work and Social Policy,Z,41
121,10007767,WMID,The University of Keele,25,Education,Z,10
121,10007767,WMID,The University of Keele,28,Modern Languages and Linguistics,Z,3
121,10007767,WMID,The University of Keele,29,English Language and Literature,Z,16
121,10007767,WMID,The University of Keele,30,History,Z,16
121,10007767,WMID,The University of Keele,32,Philosophy,Z,5
121,10007767,WMID,The University of Keele,35,"Music, Drama, Dance and Performing Arts",Z,8
122,10007150,SEAS,The University of Kent,2,"Public Health, Health Services and Primary Care",Z,7
122,10007150,SEAS,The University of Kent,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,15
122,10007150,SEAS,The University of Kent,4,"Psychology, Psychiatry and Neuroscience",Z,35
122,10007150,SEAS,The University of Kent,5,Biological Sciences,Z,26
122,10007150,SEAS,The University of Kent,8,Chemistry,Z,21
122,10007150,SEAS,The University of Kent,9,Physics,Z,7
122,10007150,SEAS,The University of Kent,10,Mathematical Sciences,Z,36
122,10007150,SEAS,The University of Kent,11,Computer Science and Informatics,Z,30
122,10007150,SEAS,The University of Kent,15,General Engineering,Z,27
122,10007150,SEAS,The University of Kent,16,"Architecture, Built Environment and Planning",Z,11
122,10007150,SEAS,The University of Kent,18,Economics and Econometrics,Z,26
122,10007150,SEAS,The University of Kent,19,Business and Management Studies,Z,61
122,10007150,SEAS,The University of Kent,20,Law,Z,50
122,10007150,SEAS,The University of Kent,21,Politics and International Studies,Z,35
122,10007150,SEAS,The University of Kent,22,Social Work and Social Policy,Z,58
122,10007150,SEAS,The University of Kent,24,Anthropology and Development Studies,Z,36
122,10007150,SEAS,The University of Kent,25,Education,Z,6
122,10007150,SEAS,The University of Kent,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,14
122,10007150,SEAS,The University of Kent,28,Modern Languages and Linguistics,Z,32
122,10007150,SEAS,The University of Kent,29,English Language and Literature,Z,38
122,10007150,SEAS,The University of Kent,30,History,Z,31
122,10007150,SEAS,The University of Kent,31,Classics,Z,14
122,10007150,SEAS,The University of Kent,32,Philosophy,Z,13
122,10007150,SEAS,The University of Kent,33,Theology and Religious Studies,Z,9
122,10007150,SEAS,The University of Kent,35,"Music, Drama, Dance and Performing Arts",Z,46
122,10007150,SEAS,The University of Kent,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,7
122,10007150,SEAS,The University of Kent,N/A,UoA not recorded,Not recorded,2
134,10003645,LOND,King's College London,1,Clinical Medicine,Z,178
134,10003645,LOND,King's College London,2,"Public Health, Health Services and Primary Care",Z,34
134,10003645,LOND,King's College London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,75
134,10003645,LOND,King's College London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,117
134,10003645,LOND,King's College London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",C,69
134,10003645,LOND,King's College London,4,"Psychology, Psychiatry and Neuroscience",Z,268
134,10003645,LOND,King's College London,5,Biological Sciences,Z,92
134,10003645,LOND,King's College London,9,Physics,Z,30
134,10003645,LOND,King's College London,10,Mathematical Sciences,Z,47
134,10003645,LOND,King's College London,11,Computer Science and Informatics,Z,49
134,10003645,LOND,King's College London,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,1
134,10003645,LOND,King's College London,15,General Engineering,Z,55
134,10003645,LOND,King's College London,17,"Geography, Environmental Studies and Archaeology",Z,40
134,10003645,LOND,King's College London,19,Business and Management Studies,Z,46
134,10003645,LOND,King's College London,20,Law,Z,57
134,10003645,LOND,King's College London,21,Politics and International Studies,Z,156
134,10003645,LOND,King's College London,23,Sociology,Z,20
134,10003645,LOND,King's College London,24,Anthropology and Development Studies,Z,1
134,10003645,LOND,King's College London,25,Education,Z,55
134,10003645,LOND,King's College London,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,15
134,10003645,LOND,King's College London,27,Area Studies,Z,4
134,10003645,LOND,King's College London,28,Modern Languages and Linguistics,Z,42
134,10003645,LOND,King's College London,29,English Language and Literature,Z,53
134,10003645,LOND,King's College London,30,History,Z,51
134,10003645,LOND,King's College London,31,Classics,Z,32
134,10003645,LOND,King's College London,32,Philosophy,Z,25
134,10003645,LOND,King's College London,33,Theology and Religious Studies,Z,36
134,10003645,LOND,King's College London,35,"Music, Drama, Dance and Performing Arts",A,17
134,10003645,LOND,King's College London,35,"Music, Drama, Dance and Performing Arts",B,15
134,10003645,LOND,King's College London,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,38
134,10003645,LOND,King's College London,N/A,UoA not recorded,Not recorded,0
63,10003678,LOND,Kingston University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,209
63,10003678,LOND,Kingston University,4,"Psychology, Psychiatry and Neuroscience",Z,26
63,10003678,LOND,Kingston University,10,Mathematical Sciences,Z,17
63,10003678,LOND,Kingston University,11,Computer Science and Informatics,Z,46
63,10003678,LOND,Kingston University,15,General Engineering,Z,70
63,10003678,LOND,Kingston University,16,"Architecture, Built Environment and Planning",Z,15
63,10003678,LOND,Kingston University,17,"Geography, Environmental Studies and Archaeology",Z,26
63,10003678,LOND,Kingston University,18,Economics and Econometrics,Z,17
63,10003678,LOND,Kingston University,19,Business and Management Studies,Z,94
63,10003678,LOND,Kingston University,20,Law,Z,25
63,10003678,LOND,Kingston University,21,Politics and International Studies,Z,16
63,10003678,LOND,Kingston University,22,Social Work and Social Policy,Z,15
63,10003678,LOND,Kingston University,23,Sociology,Z,17
63,10003678,LOND,Kingston University,25,Education,Z,47
63,10003678,LOND,Kingston University,27,Area Studies,Z,2
63,10003678,LOND,Kingston University,28,Modern Languages and Linguistics,Z,1
63,10003678,LOND,Kingston University,29,English Language and Literature,Z,58
63,10003678,LOND,Kingston University,30,History,Z,7
63,10003678,LOND,Kingston University,32,Philosophy,Z,7
63,10003678,LOND,Kingston University,34,"Art and Design: History, Practice and Theory",Z,92
63,10003678,LOND,Kingston University,35,"Music, Drama, Dance and Performing Arts",Z,25
63,10003678,LOND,Kingston University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,11
123,10007768,NWES,The University of Lancaster,1,Clinical Medicine,Z,6
123,10007768,NWES,The University of Lancaster,2,"Public Health, Health Services and Primary Care",Z,1
123,10007768,NWES,The University of Lancaster,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,65
123,10007768,NWES,The University of Lancaster,4,"Psychology, Psychiatry and Neuroscience",Z,25
123,10007768,NWES,The University of Lancaster,5,Biological Sciences,Z,12
123,10007768,NWES,The University of Lancaster,7,Earth Systems and Environmental Sciences,Z,46
123,10007768,NWES,The University of Lancaster,8,Chemistry,Z,13
123,10007768,NWES,The University of Lancaster,9,Physics,Z,40
123,10007768,NWES,The University of Lancaster,10,Mathematical Sciences,Z,31
123,10007768,NWES,The University of Lancaster,11,Computer Science and Informatics,Z,40
123,10007768,NWES,The University of Lancaster,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,4
123,10007768,NWES,The University of Lancaster,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,7
123,10007768,NWES,The University of Lancaster,15,General Engineering,Z,25
123,10007768,NWES,The University of Lancaster,17,"Geography, Environmental Studies and Archaeology",Z,15
123,10007768,NWES,The University of Lancaster,18,Economics and Econometrics,Z,10
123,10007768,NWES,The University of Lancaster,19,Business and Management Studies,Z,155
123,10007768,NWES,The University of Lancaster,20,Law,Z,35
123,10007768,NWES,The University of Lancaster,21,Politics and International Studies,Z,9
123,10007768,NWES,The University of Lancaster,22,Social Work and Social Policy,Z,12
123,10007768,NWES,The University of Lancaster,23,Sociology,Z,30
123,10007768,NWES,The University of Lancaster,24,Anthropology and Development Studies,Z,1
123,10007768,NWES,The University of Lancaster,25,Education,Z,12
123,10007768,NWES,The University of Lancaster,28,Modern Languages and Linguistics,Z,7
123,10007768,NWES,The University of Lancaster,29,English Language and Literature,Z,59
123,10007768,NWES,The University of Lancaster,30,History,Z,25
123,10007768,NWES,The University of Lancaster,32,Philosophy,Z,6
123,10007768,NWES,The University of Lancaster,33,Theology and Religious Studies,Z,22
123,10007768,NWES,The University of Lancaster,34,"Art and Design: History, Practice and Theory",Z,32
123,10007768,NWES,The University of Lancaster,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,6
211,10003854,YORH,Leeds College of Art,N/A,UoA not recorded,Not recorded,32
64,10003861,YORH,Leeds Beckett University,2,"Public Health, Health Services and Primary Care",Z,48
64,10003861,YORH,Leeds Beckett University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,63
64,10003861,YORH,Leeds Beckett University,4,"Psychology, Psychiatry and Neuroscience",Z,27
64,10003861,YORH,Leeds Beckett University,5,Biological Sciences,Z,20
64,10003861,YORH,Leeds Beckett University,11,Computer Science and Informatics,Z,52
64,10003861,YORH,Leeds Beckett University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,2
64,10003861,YORH,Leeds Beckett University,14,Civil and Construction engineering,Z,7
64,10003861,YORH,Leeds Beckett University,15,General Engineering,Z,1
64,10003861,YORH,Leeds Beckett University,16,"Architecture, Built Environment and Planning",Z,72
64,10003861,YORH,Leeds Beckett University,19,Business and Management Studies,Z,160
64,10003861,YORH,Leeds Beckett University,20,Law,Z,26
64,10003861,YORH,Leeds Beckett University,22,Social Work and Social Policy,Z,27
64,10003861,YORH,Leeds Beckett University,23,Sociology,Z,16
64,10003861,YORH,Leeds Beckett University,25,Education,Z,64
64,10003861,YORH,Leeds Beckett University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,130
64,10003861,YORH,Leeds Beckett University,28,Modern Languages and Linguistics,Z,3
64,10003861,YORH,Leeds Beckett University,29,English Language and Literature,Z,2
64,10003861,YORH,Leeds Beckett University,34,"Art and Design: History, Practice and Theory",Z,35
64,10003861,YORH,Leeds Beckett University,35,"Music, Drama, Dance and Performing Arts",Z,37
64,10003861,YORH,Leeds Beckett University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,45
124,10007795,YORH,The University of Leeds,1,Clinical Medicine,Z,138
124,10007795,YORH,The University of Leeds,2,"Public Health, Health Services and Primary Care",Z,54
124,10007795,YORH,The University of Leeds,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,77
124,10007795,YORH,The University of Leeds,4,"Psychology, Psychiatry and Neuroscience",Z,60
124,10007795,YORH,The University of Leeds,5,Biological Sciences,Z,79
124,10007795,YORH,The University of Leeds,6,"Agriculture, Veterinary and Food Science",Z,18
124,10007795,YORH,The University of Leeds,7,Earth Systems and Environmental Sciences,Z,102
124,10007795,YORH,The University of Leeds,8,Chemistry,Z,45
124,10007795,YORH,The University of Leeds,9,Physics,Z,27
124,10007795,YORH,The University of Leeds,10,Mathematical Sciences,Z,66
124,10007795,YORH,The University of Leeds,11,Computer Science and Informatics,Z,30
124,10007795,YORH,The University of Leeds,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,37
124,10007795,YORH,The University of Leeds,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,29
124,10007795,YORH,The University of Leeds,14,Civil and Construction engineering,Z,59
124,10007795,YORH,The University of Leeds,15,General Engineering,Z,54
124,10007795,YORH,The University of Leeds,17,"Geography, Environmental Studies and Archaeology",Z,53
124,10007795,YORH,The University of Leeds,19,Business and Management Studies,Z,98
124,10007795,YORH,The University of Leeds,20,Law,Z,41
124,10007795,YORH,The University of Leeds,21,Politics and International Studies,Z,37
124,10007795,YORH,The University of Leeds,22,Social Work and Social Policy,Z,34
124,10007795,YORH,The University of Leeds,25,Education,Z,41
124,10007795,YORH,The University of Leeds,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,18
124,10007795,YORH,The University of Leeds,28,Modern Languages and Linguistics,Z,90
124,10007795,YORH,The University of Leeds,29,English Language and Literature,Z,44
124,10007795,YORH,The University of Leeds,30,History,Z,37
124,10007795,YORH,The University of Leeds,31,Classics,Z,7
124,10007795,YORH,The University of Leeds,32,Philosophy,Z,31
124,10007795,YORH,The University of Leeds,33,Theology and Religious Studies,Z,12
124,10007795,YORH,The University of Leeds,34,"Art and Design: History, Practice and Theory",A,26
124,10007795,YORH,The University of Leeds,34,"Art and Design: History, Practice and Theory",B,26
124,10007795,YORH,The University of Leeds,35,"Music, Drama, Dance and Performing Arts",A,19
124,10007795,YORH,The University of Leeds,35,"Music, Drama, Dance and Performing Arts",B,19
124,10007795,YORH,The University of Leeds,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,27
40,10003863,YORH,Leeds Trinity University,4,"Psychology, Psychiatry and Neuroscience",Z,13
40,10003863,YORH,Leeds Trinity University,19,Business and Management Studies,Z,7
40,10003863,YORH,Leeds Trinity University,22,Social Work and Social Policy,Z,3
40,10003863,YORH,Leeds Trinity University,25,Education,Z,40
40,10003863,YORH,Leeds Trinity University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,17
40,10003863,YORH,Leeds Trinity University,28,Modern Languages and Linguistics,Z,0
40,10003863,YORH,Leeds Trinity University,29,English Language and Literature,Z,8
40,10003863,YORH,Leeds Trinity University,30,History,Z,4
40,10003863,YORH,Leeds Trinity University,33,Theology and Religious Studies,Z,4
40,10003863,YORH,Leeds Trinity University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,23
125,10007796,EMID,The University of Leicester†,1,Clinical Medicine,Z,109
125,10007796,EMID,The University of Leicester†,2,"Public Health, Health Services and Primary Care",Z,44
125,10007796,EMID,The University of Leicester†,4,"Psychology, Psychiatry and Neuroscience",Z,50
125,10007796,EMID,The University of Leicester†,5,Biological Sciences,Z,64
125,10007796,EMID,The University of Leicester†,7,Earth Systems and Environmental Sciences,Z,24
125,10007796,EMID,The University of Leicester†,8,Chemistry,Z,24
125,10007796,EMID,The University of Leicester†,9,Physics,Z,62
125,10007796,EMID,The University of Leicester†,10,Mathematical Sciences,Z,24
125,10007796,EMID,The University of Leicester†,11,Computer Science and Informatics,Z,21
125,10007796,EMID,The University of Leicester†,15,General Engineering,Z,32
125,10007796,EMID,The University of Leicester†,17,"Geography, Environmental Studies and Archaeology",A,26
125,10007796,EMID,The University of Leicester†,17,"Geography, Environmental Studies and Archaeology",B,27
125,10007796,EMID,The University of Leicester†,18,Economics and Econometrics,Z,29
125,10007796,EMID,The University of Leicester†,19,Business and Management Studies,Z,71
125,10007796,EMID,The University of Leicester†,20,Law,Z,52
125,10007796,EMID,The University of Leicester†,21,Politics and International Studies,Z,21
125,10007796,EMID,The University of Leicester†,22,Social Work and Social Policy,Z,14
125,10007796,EMID,The University of Leicester†,23,Sociology,Z,15
125,10007796,EMID,The University of Leicester†,25,Education,Z,28
125,10007796,EMID,The University of Leicester†,28,Modern Languages and Linguistics,Z,14
125,10007796,EMID,The University of Leicester†,29,English Language and Literature,Z,29
125,10007796,EMID,The University of Leicester†,30,History,Z,39
125,10007796,EMID,The University of Leicester†,34,"Art and Design: History, Practice and Theory",Z,6
125,10007796,EMID,The University of Leicester†,36,"Communication, Cultural and Media Studies, Library and Information Management",A,28
125,10007796,EMID,The University of Leicester†,36,"Communication, Cultural and Media Studies, Library and Information Management",B,12
62,10007151,EMID,The University of Lincoln,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,39
62,10007151,EMID,The University of Lincoln,4,"Psychology, Psychiatry and Neuroscience",Z,33
62,10007151,EMID,The University of Lincoln,5,Biological Sciences,Z,5
62,10007151,EMID,The University of Lincoln,6,"Agriculture, Veterinary and Food Science",Z,21
62,10007151,EMID,The University of Lincoln,11,Computer Science and Informatics,Z,22
62,10007151,EMID,The University of Lincoln,15,General Engineering,Z,21
62,10007151,EMID,The University of Lincoln,16,"Architecture, Built Environment and Planning",Z,20
62,10007151,EMID,The University of Lincoln,19,Business and Management Studies,Z,52
62,10007151,EMID,The University of Lincoln,20,Law,Z,12
62,10007151,EMID,The University of Lincoln,21,Politics and International Studies,Z,12
62,10007151,EMID,The University of Lincoln,22,Social Work and Social Policy,Z,35
62,10007151,EMID,The University of Lincoln,25,Education,Z,12
62,10007151,EMID,The University of Lincoln,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,15
62,10007151,EMID,The University of Lincoln,29,English Language and Literature,Z,14
62,10007151,EMID,The University of Lincoln,30,History,Z,15
62,10007151,EMID,The University of Lincoln,34,"Art and Design: History, Practice and Theory",Z,55
62,10007151,EMID,The University of Lincoln,35,"Music, Drama, Dance and Performing Arts",Z,20
62,10007151,EMID,The University of Lincoln,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,48
